node_type,timestamp,power
cpu,1772409600000,79088.748451
cpu,1772413200000,73955.602145
cpu,1772416800000,71966.131569
cpu,1772420400000,75149.194968
cpu,1772424000000,73529.826411
cpu,1772427600000,75818.190072
cpu,1772431200000,76321.278299
cpu,1772434800000,75540.698951
cpu,1772438400000,78008.571556
cpu,1772442000000,77042.073482
cpu,1772445600000,72897.911727
cpu,1772449200000,72623.486146
cpu,1772452800000,70660.599725
cpu,1772456400000,68659.666989
cpu,1772460000000,74324.432793
cpu,1772463600000,75319.474806
cpu,1772467200000,77298.813402
cpu,1772470800000,76916.656035
cpu,1772474400000,79874.582767
cpu,1772478000000,79162.992015
cpu,1772481600000,78955.530265
cpu,1772485200000,77968.837729
cpu,1772488800000,82658.850317
cpu,1772492400000,81003.930291
cpu,1772496000000,80609.651459
cpu,1772499600000,79823.564707
cpu,1772503200000,75961.825687
cpu,1772506800000,81271.280203
cpu,1772510400000,81312.653338
cpu,1772514000000,77503.077698
cpu,1772517600000,75446.567262
cpu,1772521200000,76349.320799
cpu,1772524800000,75264.439238
cpu,1772528400000,71679.320795
cpu,1772532000000,75406.330111
cpu,1772535600000,76331.798021
cpu,1772539200000,75674.866444
cpu,1772542800000,73960.585493
cpu,1772546400000,76020.831711
cpu,1772550000000,75551.389936
cpu,1772553600000,74314.467908
cpu,1772557200000,79885.424989
cpu,1772560800000,79671.241665
cpu,1772564400000,78020.106281
cpu,1772568000000,77721.9041
cpu,1772571600000,74813.89664
cpu,1772575200000,75733.120711
cpu,1772578800000,76252.040053
cpu,1772582400000,74903.744877
cpu,1772586000000,78809.520688
cpu,1772589600000,74894.182792
cpu,1772593200000,79056.257566
cpu,1772596800000,77454.351554
cpu,1772600400000,79836.877693
cpu,1772604000000,79113.33553
cpu,1772607600000,78993.576157
cpu,1772611200000,77693.091945
cpu,1772614800000,76343.960022
cpu,1772618400000,77879.88712
cpu,1772622000000,77240.448517
cpu,1772625600000,79733.629331
cpu,1772629200000,75318.037852
cpu,1772632800000,76653.255258
cpu,1772636400000,77953.636184
cpu,1772640000000,77460.599842
cpu,1772643600000,79047.807854
cpu,1772647200000,82412.765937
cpu,1772650800000,81309.508625
cpu,1772654400000,82348.970777
cpu,1772658000000,81381.410973
cpu,1772661600000,80053.365446
cpu,1772665200000,82743.309126
cpu,1772668800000,79832.734029
cpu,1772672400000,77756.708013
cpu,1772676000000,80713.239228
cpu,1772679600000,77970.913426
cpu,1772683200000,77120.876643
cpu,1772686800000,77568.735438
cpu,1772690400000,77463.245696
cpu,1772694000000,75661.906344
cpu,1772697600000,76691.364132
cpu,1772701200000,76440.131232
cpu,1772704800000,77785.677789
cpu,1772708400000,71974.283259
cpu,1772712000000,76106.940308
cpu,1772715600000,76913.754627
cpu,1772719200000,76776.532448
cpu,1772722800000,76039.621196
cpu,1772726400000,75038.281683
cpu,1772730000000,77577.243137
cpu,1772733600000,77323.459434
cpu,1772737200000,77013.894721
cpu,1772740800000,76695.722801
cpu,1772744400000,83142.347625
cpu,1772748000000,83512.275936
cpu,1772751600000,83433.978088
cpu,1772755200000,81037.971499
cpu,1772758800000,84084.407338
