,time_start,time_end,id,energy,carbon/operational,carbon/embodied,carbon,sci
0,1772827385,1772839593,15394277,0.0001724539677614,13.342970180030797,151.52246540980224,164.8654355898323,0.8121450029055778
1,1772827385,1772837868,15394278,0.0001725117224428,11.44177898937773,129.87639892268754,141.31817791206458,0.8121734362762333
2,1772827355,1772844697,15394275,0.0001728435429396,19.0351632544662,215.71424878538377,234.7494120398485,0.8122817025600293
3,1772827355,1772842495,15394276,0.0001724741718995,16.565612673667182,188.09685361216845,204.66246628583437,0.8121526439914062
4,1772827325,1772838034,15394274,0.0001726949366375,11.710842046513577,132.86206326573785,144.57290531225084,0.8122073332148924
5,1772826665,1772846527,15394272,0.0001717725235672,21.667816085988953,247.06372438741192,268.7315404733993,0.8118777657806626
6,1772826665,1772845922,15394273,0.000171741366446,20.94528283216103,238.8531474440236,259.798430276183,0.8118700946130719
7,1772826635,1772846229,15394271,0.0001717560391914,21.34213548053049,243.33164395859905,264.6737794391278,0.8118827590157295
8,1772826605,1772846931,15394270,0.0001717795082329,22.128998763529463,252.28863698774995,274.41763575127794,0.8118864963055561
9,1772826575,1772846022,15394269,0.000171739079759,21.20955231689947,241.8388117870739,263.0483641039718,0.8118776669875672
10,1772812076,1772822971,15394268,0.0001718713524155,11.855517976819735,135.10131152302557,146.95682949984464,0.8119161850820146
11,1772812046,1772823159,15394266,0.0001719077465652,12.12212090071888,138.08697586607587,150.20909676679406,0.8119410636042922
12,1772812046,1772822965,15394267,0.0001718791552892,11.857116081029568,135.10131152302557,146.95842760405444,0.8119250143870411
13,1772812016,1772823099,15394265,0.0001718817363311,12.05556014150634,137.3405597803133,149.39611992181898,0.8119354343577119
14,1772811986,1772822722,15394264,0.0001718722524738,11.66227453756134,132.86206326573785,144.5243378032985,0.8119344820410028
15,1772755123,1772779832,15394263,0.0001719985380136,26.938989072170397,306.777011248418,333.7160003205865,0.8119610713396265
16,1772753496,1772769838,15394262,0.0001723244935566,17.864915774374936,203.02517532741996,220.89009110179367,0.8120959231683591
17,1772748563,1772765908,15394261,0.0001720096065622,18.939565797990475,215.71424878538377,234.65381458337276,0.8119509155134006
18,1772747264,1772755115,15394259,0.0001719720283281,8.520345300902532,97.0340911491342,105.55443645003648,0.8119572034618191
19,1772747264,1772753495,15394260,0.0001723853523542,6.767424383840326,76.88085683354467,83.6482812173849,0.8121192351202418
20,1772746313,1772760082,15394257,0.0001724026770412,15.04799995381608,170.9292836396292,185.9772835934443,0.8121278759539052
21,1772746313,1772758761,15394258,0.0001724668475156,13.605645208712597,154.50812975285254,168.11377496156427,0.8121438403940303
22,1772745893,1772760125,15394256,0.0001724685616579,15.579517021831272,176.9006123257298,192.48012934756,0.8121524445044725
23,1772742948,1772761209,15394255,0.0001724822987108,19.98553595178392,226.9104900718224,246.89602602360472,0.812157980340805
24,1772742918,1772755379,15394254,0.0001724710151533,13.607354563792176,154.50812975285254,168.11548431664394,0.8121520981480383
25,1772742678,1772757304,15394251,0.0001718592402694,15.915679515229852,181.3791088403053,197.29478835553405,0.8119127092820332
26,1772742678,1772760111,15394252,0.0001723921963423,19.053066496717832,216.46066487114632,235.51373136786265,0.8121163150615953
27,1772742678,1772759694,15394253,0.0001725596892541,18.609972565880327,211.2357522708083,229.84572483668728,0.8121757061367042
28,1772742648,1772757459,15394250,0.0001718439528692,16.10879231177206,183.618357097593,199.72714940936388,0.8118989813388775
29,1772742618,1772757514,15394249,0.0001718740199705,16.244505722602078,185.11118926911817,201.3556949917191,0.8119181249666093
30,1772660157,1772746574,15394247,0.0001720626720207,94.4202923805914,1074.8391634981083,1169.259455878689,0.8119857332490896
31,1772659878,1772746304,15394244,0.0001723657249929,94.6042998874884,1074.8391634981083,1169.443463385586,0.8121135162399903
32,1772659878,1772746304,15394245,0.0001724049458949,94.61641499817668,1074.8391634981083,1169.4555784962768,0.8121219295113034
33,1772659878,1772746304,15394246,0.0001723906538797,94.60653685210882,1074.8391634981083,1169.4457003502057,0.8121150696876428
34,1772659458,1772745884,15394243,0.0001724111017718,94.6280539596722,1074.8391634981083,1169.4672174577738,0.812130012123454
35,1772658048,1772697243,15394240,0.0001728252008301,43.00622291886391,487.4097040029613,530.4159269218206,0.8122755389308126
